0,3,smash,800,26
1,3,smash,1012,30
2,3,smash,1211,33
3,3,smash,1384,243
4,3,smash,1547,273
5,3,smash,1293,279
6,3,smash,1482,299
7,3,smash,1669,301
8,3,smash,1836,371
9,3,smash,1551,561
10,3,smash,1310,569
11,3,smash,1055,635
12,3,smash,860,720
13,3,smash,1060,806
14,3,smash,864,920
15,3,smash,1060,1032
16,3,smash,837,1048
17,3,smash,837,1049
18,3,smash,632,1131
19,3,smash,422,1200
20,3,smash,659,1216
21,3,smash,864,1231
22,3,smash,1111,1250
23,3,smash,1285,1255
24,3,smash,1082,1273
25,3,smash,1252,1280
26,3,smash,1455,1287
27,3,smash,1210,1291
28,3,smash,1020,1331
29,3,smash,1248,1337
30,3,smash,1453,1402
31,3,smash,1607,1405
32,3,smash,1794,1454
33,3,smash,1971,1623
34,3,smash,2000,1651
35,3,smash,1582,1665
36,3,smash,1700,1717
37,3,smash,1864,1745
38,3,smash,1986,1832
39,3,smash,2000,1845
40,3,smash,1551,1894
41,3,smash,1693,1990
42,3,smash,1430,1996
43,3,smash,1588,2070
44,3,smash,1774,2128
45,3,smash,1543,2175
46,3,smash,1320,2315
47,3,smash,1096,2341
48,3,smash,878,2347
49,3,smash,663,2352
50,3,smash,882,2357
51,3,smash,685,2362
52,3,smash,900,2376
53,3,smash,1125,2406
54,3,smash,928,2414
55,3,smash,1150,2422
56,3,smash,1339,2574
57,3,smash,1108,2581
58,3,smash,914,2585
59,3,smash,1147,2587
60,3,smash,1311,2588
61,3,smash,1111,2597
62,3,smash,1303,2613
63,3,smash,1063,2797
64,3,smash,859,2851
65,3,smash,664,2863
66,3,smash,475,2954
67,3,smash,707,2980
68,3,smash,937,3030
69,3,smash,1177,3106
70,3,smash,986,3170
71,3,smash,813,3179
72,3,smash,1064,3303
73,3,smash,1254,3352
74,3,smash,1058,3378
75,3,smash,1252,3380
76,3,smash,1452,3464
77,3,smash,1615,3509
78,3,smash,1324,3599
79,3,smash,1484,3632
80,3,smash,1662,3641
81,3,smash,1839,3643
82,3,smash,1486,3779
83,3,smash,1656,3819
