9,5,spikeball,900,0
10,1,soccer,1100,2
11,2,soccer,900,2
12,4,frisbee,900,5
13,9,frisbee,1100,5
14,1,chess,900,7
15,8,chess,1100,1
26,1,fakeactivity26,1515,46
27,8,fakeactivity27,1551,47
28,4,fakeactivity28,1901,48
29,3,fakeactivity29,969,49
30,4,fakeactivity30,1641,50
31,2,fakeactivity31,321,51
32,2,fakeactivity32,1726,52
33,9,fakeactivity33,626,53
34,8,fakeactivity34,1740,54
35,7,fakeactivity35,1985,55
36,8,fakeactivity36,1823,56
37,0,fakeactivity37,1602,57
38,4,fakeactivity38,1033,58
39,6,fakeactivity39,1879,59
40,9,fakeactivity40,1133,60
41,5,fakeactivity41,1005,61
42,5,fakeactivity42,652,62
43,0,fakeactivity43,364,63
44,2,fakeactivity44,843,64
45,0,fakeactivity45,1447,65
46,2,fakeactivity46,240,66
47,0,fakeactivity47,1986,67
48,0,fakeactivity48,1018,68
49,4,fakeactivity49,1336,69
50,8,fakeactivity50,931,70
51,1,fakeactivity51,1316,71
52,1,fakeactivity52,1695,72
53,8,fakeactivity53,1850,73
54,2,fakeactivity54,755,74
55,9,fakeactivity55,534,75
56,7,fakeactivity56,519,76
57,9,fakeactivity57,1406,77
58,2,fakeactivity58,850,78
59,9,fakeactivity59,1531,79
60,8,fakeactivity60,1818,80
61,6,fakeactivity61,1940,81
62,4,fakeactivity62,1440,82
63,3,fakeactivity63,473,83
64,4,fakeactivity64,265,84
65,5,fakeactivity65,1062,85
66,9,fakeactivity66,1350,86
67,1,fakeactivity67,1014,87
68,3,fakeactivity68,1123,88
69,8,fakeactivity69,1175,89
70,2,fakeactivity70,1128,90
71,2,fakeactivity71,562,91
72,0,fakeactivity72,1058,92
73,7,fakeactivity73,1271,93
74,6,fakeactivity74,1424,94
75,7,fakeactivity75,485,95
76,0,fakeactivity76,820,96
77,7,fakeactivity77,1548,97
78,5,fakeactivity78,207,98
79,2,fakeactivity79,515,99
80,8,fakeactivity80,1438,100
81,2,fakeactivity81,1006,101
82,2,fakeactivity82,1512,102
83,2,fakeactivity83,1873,103
84,5,fakeactivity84,1498,104
85,4,fakeactivity85,374,105
86,4,fakeactivity86,1781,106
87,0,fakeactivity87,1154,107
88,0,fakeactivity88,879,108
89,6,fakeactivity89,1594,109
90,8,fakeactivity90,1729,110
91,4,fakeactivity91,556,111
92,2,fakeactivity92,392,112
93,7,fakeactivity93,1491,113
94,6,fakeactivity94,977,114
95,0,fakeactivity95,1929,115
96,2,fakeactivity96,1691,116
97,9,fakeactivity97,583,117
98,2,fakeactivity98,733,118
99,6,fakeactivity99,1806,119
100,1,fakeactivity100,702,120
101,4,fakeactivity101,1910,121
102,2,fakeactivity102,1502,122
103,7,fakeactivity103,567,123
104,0,fakeactivity104,936,124
105,0,fakeactivity105,1268,125
106,3,fakeactivity106,797,126
107,3,fakeactivity107,389,127
108,4,fakeactivity108,1857,128
109,5,fakeactivity109,613,129
110,0,fakeactivity110,1867,130
111,8,fakeactivity111,1849,131
112,9,fakeactivity112,1730,132
113,2,fakeactivity113,1304,133
114,7,fakeactivity114,851,134
115,2,fakeactivity115,457,135
116,9,fakeactivity116,223,136
117,8,fakeactivity117,1519,137
118,8,fakeactivity118,1387,138
119,6,fakeactivity119,1107,139
120,4,fakeactivity120,1165,140
121,1,fakeactivity121,1844,141
122,0,fakeactivity122,999,142
123,7,fakeactivity123,495,143
124,9,fakeactivity124,1498,144
125,8,fakeactivity125,1577,145
126,5,fakeactivity126,1307,146
127,2,fakeactivity127,1764,147
128,9,fakeactivity128,1121,148
129,0,fakeactivity129,1267,149
130,4,fakeactivity130,1882,150
131,3,fakeactivity131,1120,151
132,6,fakeactivity132,852,152
133,8,fakeactivity133,536,153
134,2,fakeactivity134,1589,154
135,5,fakeactivity135,343,155
136,6,fakeactivity136,518,156
137,2,fakeactivity137,233,157
138,4,fakeactivity138,478,158
139,0,fakeactivity139,1850,159
140,6,fakeactivity140,1632,160
141,9,fakeactivity141,1949,161
142,8,fakeactivity142,1505,162
143,7,fakeactivity143,1286,163
144,5,fakeactivity144,1763,164
145,7,fakeactivity145,1651,165
146,8,fakeactivity146,430,166
147,9,fakeactivity147,346,167
148,0,fakeactivity148,1226,168
149,2,fakeactivity149,1012,169
150,8,fakeactivity150,1211,170
151,2,fakeactivity151,507,171
152,1,fakeactivity152,1964,172
153,7,fakeactivity153,687,173
154,1,fakeactivity154,870,174
155,9,fakeactivity155,1995,175
156,7,fakeactivity156,631,176
157,8,fakeactivity157,1793,177
158,4,fakeactivity158,248,178
159,9,fakeactivity159,1925,179
160,6,fakeactivity160,1125,180
161,1,fakeactivity161,507,181
162,3,fakeactivity162,576,182
163,8,fakeactivity163,1546,183
164,4,fakeactivity164,1313,184
165,3,fakeactivity165,1897,185
166,2,fakeactivity166,1369,186
167,6,fakeactivity167,1093,187
168,2,fakeactivity168,491,188
169,0,fakeactivity169,488,189
170,0,fakeactivity170,746,190
171,8,fakeactivity171,936,191
172,4,fakeactivity172,515,192
173,1,fakeactivity173,479,193
174,2,fakeactivity174,329,194
